x_m,y_m,bldg_id,height_m,plan_area_frac,W_road_m,W_roof_m,roof_mat_id,wall_mat_id,road_mat_id,orientation_deg,ah_profile_id,AH_Wm2,is_urban,hvac_profile_id
125.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
375.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
625.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
875.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
1125.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
1375.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
1625.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
1875.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
2125.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
2375.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
2625.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
2875.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
3125.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
3375.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
3625.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
3875.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
4125.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
4375.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
4625.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
4875.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
5125.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
5375.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
5625.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
5875.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
6125.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
6375.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
6625.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
6875.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,0
7125.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,1
7375.0,125.0,1,5.0,0.05,5.0,3.0,3,3,3,0.0,0,5.0,1,2
